Country,"Annual consumption of 1,000 - 2,500 KWhin (euro cents per kilowatt-hour)","Annual consumption of 2,500 - 5,000 KWh(euro cents per kilowatt-hour)",Nuclear energy usage (2021),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,35.27,31.93,"69,130",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,29.10,27.02,"50,326",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,28.85,23.23,"56,564",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,24.12,17.67,"23,598",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czechia,23.98,18.02,"30,731",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,22.49,19.33,"379,361",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,21.37,17.91,"52,965",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,20.73,16.62,"5,706",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovakia,18.95,16.68,"15,730",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,15.55,15.36,"11,284",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,13.77,13.48,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,10.45,10.24,"16,487",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,10.14,10.03,"15,990",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,3.75,12.81,"3,828",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
